,Globalcount,iso,Countryname,Totalcount
0,12.794756215400927,GBR,United Kingdom,261424930
1,12.659049073305487,USA,United States,549862567
2,12.012160305670449,BRA,Brazil,17105107
3,10.524288745618545,ESP,Spain,9449111
4,11.054511654201377,AUT,Austria,5838240
5,10.630689724137738,ITA,Italy,15477303
6,11.869004914676044,AUS,Australia,27477513
7,11.484258369057606,NLD,Netherlands,16493107
8,12.330713051535877,IRL,Ireland,8365666
9,11.630308577538084,DEU,Germany,69225279
10,12.292957996378844,CAN,Canada,50438059
11,11.290021965970148,DNK,Denmark,8325818
12,11.529538516263967,RUS,Russia,16330166
13,10.842643005276804,CHE,Switzerland,4471567
14,10.875617528600237,JPN,Japan,29099293
15,12.644335906357096,SWE,Sweden,54129996
16,11.980551237346905,FIN,Finland,28166836
17,10.283277965472422,BEL,Belgium,6528652
18,12.398604284458095,NOR,Norway,18968367
19,7.98584193700334,ATA,Antarctica,507
20,10.363463742212133,HUN,Hungary,1752125
21,10.394194432289371,CZE,Czech Republic,2597297
22,7.939252701912962,KHM,Cambodia,6627
23,9.24687804996563,LVA,Latvia,493337
24,10.732998870834978,ISR,Israel,1666239
25,11.028903795833239,NZL,New Zealand,4318882
26,10.768826532104947,ZAF,South Africa,1826781
27,11.153417197207789,UKR,Ukraine,2685511
28,12.29733374794688,POL,Poland,20450934
29,11.26759552110858,FRA,France,34542468
30,-inf,CCK,Cocos (Keeling) Islands,0
31,10.03869298746569,SRB,Serbia,465963
32,11.06269407377809,MEX,Mexico,3837295
33,13.569405712295282,ISL,Iceland,6527884
34,9.119813742386416,BGR,Bulgaria,180253
35,10.224115917512703,PRT,Portugal,1515452
36,4.502500340529183,STP,Sao Tome and Principe,68
37,10.334447348171262,ARG,Argentina,2942544
38,8.297877732409308,NIC,Nicaragua,9756
39,12.15592501602658,CYM,Cayman Islands,9127
40,10.186193971090793,SVN,Slovenia,579037
41,12.367533455430879,LUX,Luxembourg,486168
42,-inf,UMI,United States Minor Outlying Islands,0
43,10.87454129388634,TWN,Taiwan,1019443
44,6.675764618016144,MDG,Madagascar,5623
45,-inf,CXR,Christmas Island,0
46,-inf,SJM,Svalbard and Jan Mayen,0
47,9.595619159764626,TUR,Turkey,1569825
48,9.725167408490737,AZE,Azerbaijan,50783
49,8.226140239071457,THA,Thailand,37131
50,10.457322064888494,CHL,Chile,1152873
51,8.278944477308983,LBN,Lebanon,37894
52,8.982447120218753,EST,Estonia,966094
53,6.3112808506878535,AFG,Afghanistan,4050
54,12.389012832005916,LIE,Liechtenstein,53637
55,11.42458456007426,BLR,Belarus,865871
56,9.980743410240498,HRV,Croatia,451659
57,10.37518716965982,LTU,Lithuania,498051
58,10.481117804300942,GRC,Greece,2814340
59,9.011862552029974,CRI,Costa Rica,45428
60,7.898845786050763,IND,India,321005
61,9.73047013718422,MNE,Montenegro,11893
62,-inf,NRU,Nauru,0
63,-inf,FSM,Micronesia,0
64,7.040111003770501,BFA,Burkina Faso,3027
65,9.129701857139777,PER,Peru,206700
66,8.526079993226446,ARE,United Arab Emirates,10322
67,10.03469194639652,SVK,Slovakia,727952
68,5.285402218862249,NIU,Niue,39
69,9.504282467273976,IDN,Indonesia,748743
70,10.860373669627043,COL,Colombia,1520728
71,8.71191738119923,PHL,Philippines,278011
72,11.143530530988633,ROU,Romania,1576775
73,8.586445602524398,CYP,Cyprus,45743
74,-inf,HMD,Heard Island and McDonald Islands,0
75,10.011090491954121,SGP,Singapore,189870
76,9.61559889348922,VEN,Venezuela,258095
77,-inf,KIR,Kiribati,0
78,-inf,REU,RÃƒÂ©union,0
79,8.95126121045747,MKD,Macedonia,61379
80,9.438423602845006,MYS,Malaysia,188026
81,5.491853096329675,VAT,Vatican City,225
82,11.258868999827518,KOR,South Korea,5219596
83,6.5530532527664125,MWI,Malawi,939
84,8.979616402729828,KAZ,Kazakhstan,35842
85,6.26381308969678,HTI,Haiti,6301
86,8.575786715031564,VNM,Vietnam,72879
87,5.426264754702098,PRK,North Korea,215
88,4.78135971352466,MUS,Mauritius,550
89,-inf,HKG,Hong Kong,0
90,9.193867078910907,CHN,China,684026
91,8.326953008870182,TTO,Trinidad and Tobago,33075
92,-inf,ASM,American Samoa,0
93,10.385323176175872,ESH,Western Sahara,5350
94,-inf,NCL,New Caledonia,0
95,8.310444478458114,DZA,Algeria,51429
96,8.336653918585945,PAN,Panama,34268
97,10.551839322384255,BRB,Barbados,33025
98,6.413627929024172,OMN,Oman,341
99,9.52965456269285,EGY,Egypt,90172
100,-inf,GUM,Guam,0
101,9.424373315505067,GTM,Guatemala,48784
102,9.877118365767258,IRN,Iran,256727
103,-inf,IOT,British Indian Ocean Territory,0
104,8.922265821495435,PSE,Palestine,16980
105,8.214319120800766,MDV,Maldives,891
106,9.343892300404194,JOR,Jordan,14296
107,7.836613973864663,ZWE,Zimbabwe,12801
108,8.569331849007392,GHA,Ghana,44064
109,10.34473769131254,URY,Uruguay,280886
110,-inf,PRI,Puerto Rico,0
111,1.7004397181410922,FJI,Fiji,13
112,8.975676037797326,BIH,Bosnia and Herzegovina,37758
113,9.120712026963636,DOM,Dominican Republic,91296
114,-inf,SGS,South Georgia and the South Sandwich Islands,0
115,9.113031770446378,TJK,Tajikistan,6091
116,13.185572353167862,VGB,British Virgin Islands,18633
117,6.699051844016849,BWA,Botswana,1039
118,12.270003253378444,WSM,Samoa,4939
119,10.367073422302825,VIR,U.S. Virgin Islands,21131
120,12.833263470570879,AND,Andorra,65681
121,-inf,PYF,French Polynesia,0
122,9.681792218462423,ARM,Armenia,75561
123,10.103405506003517,GEO,Georgia,85807
124,10.300147196573844,MLT,Malta,98344
125,9.04349727946578,BOL,Bolivia,33771
126,10.367705204319211,CUB,Cuba,640814
127,6.782296224457181,KGZ,Kyrgyzstan,1541
128,0.8073549220576041,BRN,Brunei,7
129,8.206628830518355,UZB,Uzbekistan,5613
130,1.0,TUV,Tuvalu,2
131,10.564242453130353,CIV,Ivory Coast,62078
132,7.556865246766623,ALB,Albania,12051
133,9.211200578949622,BGD,Bangladesh,81795
134,5.321928094887363,SYC,Seychelles,40
135,7.900004210023279,TGO,Togo,1672
136,8.549552336543751,ECU,Ecuador,32598
137,4.795180208111502,LAO,Laos,472
138,5.851749041416057,SLV,El Salvador,462
139,6.303780748177103,VUT,Vanuatu,158
140,7.20945336562895,HND,Honduras,1628
141,11.621321481680518,MDA,Moldova,132317
142,-inf,GLP,Guadeloupe,0
143,8.336665947209289,BDI,Burundi,2263
144,11.397149712236015,TUN,Tunisia,145639
145,8.934843183946569,KEN,Kenya,42577
146,8.907365088308369,ZMB,Zambia,9123
147,6.068045387423099,LKA,Sri Lanka,2952
148,6.714245517666122,BTN,Bhutan,210
149,6.372865060112588,SUR,Suriname,663
150,12.05755859254222,JAM,Jamaica,4126313
151,8.703929585994647,MAR,Morocco,55462
152,8.191175636956118,COD,Democratic Republic of the Congo,30981
153,7.502500340529183,YEM,Yemen,544
154,-inf,SHN,Saint Helena,0
155,9.62296694479051,GRD,Grenada,3154
156,-inf,DJI,Djibouti,0
157,3.643856189774725,GIB,Gibraltar,25
158,6.010888316142736,UGA,Uganda,2128
159,10.4367916095702,SAU,Saudi Arabia,18019
160,7.9525332611642305,MNG,Mongolia,5202
161,7.747056828524299,AGO,Angola,27928
162,10.316658657624956,BHS,Bahamas,22956
163,4.392317422778761,TCD,Chad,21
164,7.7178905839872805,PRY,Paraguay,6737
165,11.984273619596054,FRO,Faroe Islands,239044
166,-inf,WLF,Wallis and Futuna,0
167,5.709658248170471,LSO,Lesotho,157
168,-inf,SPM,Saint Pierre and Miquelon,0
